CITY,STATE,TOTAL_SALES,TOTAL_PROFIT
New York City,New York,256368.16,62036.98
Los Angeles,California,175851.34,30440.76
Seattle,Washington,119540.74,29156.1
San Francisco,California,112669.09,17507.39
Philadelphia,Pennsylvania,109077.01,-13837.77
Houston,Texas,64504.76,-10153.55
Chicago,Illinois,48539.54,-6654.57
San Diego,California,47521.03,6377.2
Detroit,Michigan,42446.94,13181.79
Jacksonville,Florida,39133.33,-2445.66
San Antonio,Texas,21843.53,-7299.05
Newark,Delaware,20448.05,8086.17
Dallas,Texas,20131.93,-2846.53
Lafayette,Indiana,19630.45,8976.1
Atlanta,Georgia,17197.84,6993.66
Minneapolis,Minnesota,16870.54,6824.58
Springfield,Virginia,16628.53,4568.58
Providence,Rhode Island,15980.65,5505.66
Columbus,Ohio,15900.79,-729.51
Henderson,Kentucky,15661.01,4518.82
Jackson,Michigan,15420.04,5525.2
Springfield,Missouri,15051.38,3905.59
Lakewood,New Jersey,14852.04,3526.67
Columbus,Georgia,14845.05,4104.12
Arlington,Virginia,14366.76,4424.09
Charlotte,North Carolina,13693.34,-429.78
Burlington,North Carolina,12681.28,-5894.53
Denver,Colorado,12198.79,-244.92
Milwaukee,Wisconsin,11410.22,2793.09
Phoenix,Arizona,11000.26,-2790.88
Columbia,Maryland,10962.35,3775.22
North Las Vegas,Nevada,9801,2247.69
Indianapolis,Indiana,9306.42,2741.65
Buffalo,New York,9063.5,992.88
Burlington,Vermont,8929.37,2244.98
Miami,Florida,8673.07,-1150.37
Long Beach,New York,8521.2,1362.54
Lancaster,Ohio,8202.63,-7149.62
Newark,Ohio,8128.07,-2292.41
Anaheim,California,7986.87,1234
Columbus,Indiana,7960.4,2522.48
Fresno,California,7888.53,948.27
Yonkers,New York,7657.67,2767.76
Aurora,Illinois,7572.97,-1894.72
Jackson,Mississippi,7426.61,2100.44
Sacramento,California,7311.28,2069.69
Louisville,Kentucky,7275.39,1975.9
Tallahassee,Florida,7250.67,392.71
Richmond,Kentucky,6761.52,2275.64
Huntsville,Texas,6710.62,-843.43
Roswell,Georgia,6652.32,2427.44
Fort Worth,Texas,6602.71,298.73
Oklahoma City,Oklahoma,6596.82,1580.76
Wilmington,Delaware,6553.9,1775.07
Cleveland,Ohio,6346.19,-848.01
Tucson,Arizona,6313.02,-64.97
Omaha,Nebraska,6312.53,1841.63
Richmond,Indiana,6235.15,1881.86
Columbia,South Carolina,6168.16,1388.38
Baltimore,Maryland,6156.84,1676.2
Lawrence,Massachusetts,6109.06,1849.4
San Jose,California,6071.23,1216.06
Nashville,Tennessee,6070.86,-837.49
Austin,Texas,6057.98,-20.39
Rochester,New York,6017.13,1223.22
Chesapeake,Virginia,5996.72,1262.79
Oakland,California,5964.42,834.1
Memphis,Tennessee,5942.34,-1479.04
Arlington,Texas,5847.77,-254.39
Springfield,Oregon,5761.27,-853.31
Virginia Beach,Virginia,5752.13,2024.88
Everett,Massachusetts,5661.88,1360.08
