CATEGORY,SUB_CATEGORY,TOTAL_SALES,TOTAL_PROFIT,MARGIN_PCT
Technology,Copiers,149528,55618,269
Technology,Phones,330007,44516,741
Technology,Accessories,167380,41937,399
Office Supplies,Paper,78479,34054,230
Office Supplies,Binders,203413,30222,673
Furniture,Chairs,328449,26590,1235
Office Supplies,Storage,223844,21279,1052
Office Supplies,Appliances,107532,18138,593
Furniture,Furnishings,91705,13059,702
Office Supplies,Envelopes,16476,6964,237
Office Supplies,Art,27119,6528,415
Office Supplies,Labels,12486,5546,225
Technology,Machines,189239,3385,5591
Office Supplies,Fasteners,3024,950,319
Office Supplies,Supplies,46674,-1189,-3925
Furniture,Bookcases,114880,-3473,-3308
Furniture,Tables,206966,-17725,-1168
